gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4978647114;BR;;Mato Grosso;1;-17.342279;-56.697272;30748;2024-10-05T22:06;2024;10;5;Attila Steiner
4978602562;BR;;Mato Grosso do Sul;1;-17.289796;-56.619097;30748;2024-10-07T07:21;2024;10;7;Richard McKibbin
4978581815;BR;;Mato Grosso do Sul;1;-17.287313;-56.67044;30748;2024-10-06T00:20;2024;10;6;Attila Steiner
4978575168;BR;;Mato Grosso;1;-16.295703;-56.671319;30826;2024-10-04T19:32;2024;10;4;Richard McKibbin
4978570883;BR;;Mato Grosso;1;-17.227505;-56.768885;30748;2024-10-06T22:36;2024;10;6;Attila Steiner
4978565717;BR;;Mato Grosso do Sul;1;-19.53537;-56.195735;30562;2024-10-30T21:54;2024;10;30;Lucas Leuzinger
4978563234;BR;;Mato Grosso;1;-16.587672;-56.70229;30810;2024-10-10T11:17;2024;10;10;Richard McKibbin
4978557508;BR;;Mato Grosso;1;-17.387177;-56.798152;30748;2024-10-05T14:23;2024;10;5;Attila Steiner
4978494094;BR;;Mato Grosso do Sul;1;-17.386756;-56.77486;30748;2024-10-07T00:01;2024;10;7;Attila Steiner
4978484289;BR;;Mato Grosso;1;-17.337882;-56.70427;30748;2024-10-05T23:35;2024;10;5;Attila Steiner
4978468516;BR;;Mato Grosso;1;-17.334791;-56.797064;30748;2024-10-06T23:03;2024;10;6;Richard McKibbin
4978424245;BR;;Mato Grosso;1;-17.33918;-56.74507;30748;2024-10-07T15:31;2024;10;7;Attila Steiner
4978397370;BR;;Mato Grosso;1;-17.274768;-56.703696;30748;2024-10-06T18:03;2024;10;6;Attila Steiner
4978388283;BR;;Mato Grosso;1;-17.390407;-56.790076;30748;2024-10-07T13:34;2024;10;7;Attila Steiner
4978387564;BR;;Mato Grosso;1;-17.377278;-56.745894;30748;2024-10-05T17:35;2024;10;5;Attila Steiner
4978373277;BR;;Mato Grosso do Sul;1;-19.599991;-56.131585;30562;2024-10-27T17:50:45;2024;10;27;Patrick James
4978356545;BR;;Mato Grosso;1;-17.376484;-56.6109;30748;2024-10-07T12:15;2024;10;7;Richard McKibbin
4978352693;BR;;Mato Grosso;1;-17.319668;-56.623853;30748;2024-10-05T16:38;2024;10;5;Attila Steiner
4978307489;BR;;Mato Grosso;1;-17.236674;-56.690504;30748;2024-10-06T22:00;2024;10;6;Attila Steiner
4978240328;BR;;Mato Grosso;1;-17.280812;-56.672132;30748;2024-10-05T23:24;2024;10;5;Attila Steiner
4978237616;BR;;Mato Grosso do Sul;1;-17.265286;-56.62153;30748;2024-10-06T21:08;2024;10;6;Attila Steiner
4978229166;BR;;Mato Grosso do Sul;1;-17.307471;-56.727368;30748;2024-10-05T00:09;2024;10;5;Attila Steiner
4978218409;BR;;Mato Grosso;1;-17.20841;-56.667015;30748;2024-10-06T13:07;2024;10;6;Attila Steiner
4976651157;PA;;Emberá;1;8.571135;-77.904077;31279;2024-10-11T15:26;2024;10;11;Savimbo
4976606332;BR;;Mato Grosso;1;-17.354028;-56.633565;30748;2024-09-12T15:19:09;2024;9;12;Navin Sasikumar
4976552720;BR;;Mato Grosso do Sul;1;-19.477939;-56.044794;30562;2024-10-21T10:44:12;2024;10;21;Lucas Leuzinger
4976547828;PA;;Emberá;1;8.431275;-77.955996;31279;2024-10-01T17:48;2024;10;1;Savimbo
4976501023;PA;;Emberá;1;8.552528;-77.805258;31279;2024-10-21T12:10;2024;10;21;Savimbo
4976410411;BR;;Mato Grosso do Sul;1;-19.785869;-56.062309;30545;2024-10-14T12:21;2024;10;14;Lucas Leuzinger
4976272311;CO;;Santander;1;7.083024;-73.705471;31331;2024-10-23T10:34:26;2024;10;23;ipacarai
4976197411;BO;;Santa Cruz;1;-17.011219;-62.008948;30764;2024-10-23T15:41;2024;10;23;natura_fera_uli
4974301865;MX;;Campeche;1;18.106916;-91.895464;30683;2024-08-06T12:20;2024;8;6;eder_herpnandez
4974297272;CO;;Putumayo;1;0.956356;-76.780867;31449;2024-08-14T00:35;2024;8;14;Savimbo
4974279383;BR;;Mato Grosso;1;-17.301643;-56.692342;30748;2024-09-13T07:02;2024;9;13;Navin Sasikumar
4974275555;CO;;Putumayo;1;0.972225;-76.608229;31449;2024-08-10T09:38;2024;8;10;Savimbo
4974263488;BR;;Mato Grosso;1;-17.316694;-56.660769;30748;2024-10-07T15:45;2024;10;7;zab0s
4974261844;CO;;Santander;1;7.141077;-73.616054;31331;2024-06-05T10:37;2024;6;5;ipacarai
4974250957;BR;;Mato Grosso;1;-17.37336;-56.630322;30748;2024-07-01T17:18;2024;7;1;Giff Beaton
4974219587;CO;;Putumayo;1;0.840421;-76.618116;31449;2024-10-07T00:59;2024;10;7;Savimbo
4974201698;GT;;Petén;1;17.276831;-89.13056;30748;2024-10-11T11:09:26;2024;10;11;Cornelio Chablé
4974186677;CO;;Santander;1;7.009728;-73.626456;31331;2024-07-27T10:01;2024;7;27;ipacarai
4974157650;CO;;Santander;1;7.08354;-73.621917;31331;2024-05-29T14:38:25;2024;5;29;ipacarai
4974144521;CR;;Limón;1;10.454945;-83.484608;31189;2024-10-11T22:00;2024;10;11;derick_gil
4974132881;CO;;Putumayo;1;0.99845;-76.750514;31449;2024-09-18T06:29;2024;9;18;Savimbo
4974132876;CO;;Putumayo;1;0.886251;-76.638194;31449;2024-08-25T00:21;2024;8;25;Savimbo
4974098521;CO;;Santander;1;7.082873;-73.678292;31331;2024-06-06T10:34;2024;6;6;ipacarai
4974073513;CO;;Putumayo;1;0.811198;-76.766128;31449;2024-08-22T01:06;2024;8;22;Savimbo
4974054427;CO;;Putumayo;1;0.825696;-76.657224;31449;2024-09-10T05:33;2024;9;10;Savimbo
4974052887;CO;;Putumayo;1;0.903534;-76.73578;31449;2024-09-02T00:37;2024;9;2;Savimbo
4974052564;BR;;Mato Grosso;1;-17.329792;-56.682165;30748;2024-10-07T13:54;2024;10;7;zab0s
4974027529;CO;;Santander;1;7.196183;-73.68517;31331;2024-06-02T10:36;2024;6;2;ipacarai
4974025746;BR;;Mato Grosso do Sul;1;-17.334237;-56.71854;30748;2024-09-13T16:55;2024;9;13;Navin Sasikumar
4973989046;BR;;Mato Grosso do Sul;1;-17.368153;-56.757129;30748;2024-10-16T11:24:35;2024;10;16;fech0005
4973954152;CO;;Santander;1;7.040013;-73.626873;31331;2024-05-15T10:34;2024;5;15;ipacarai
4973947973;PE;;Loreto;1;-3.343073;-72.881859;31425;2024-07-13T09:50;2024;7;13;Jordan Wolf
4973936566;BR;;Mato Grosso;1;-17.315658;-56.677766;30748;2024-07-01T09:36;2024;7;1;Giff Beaton
4973901640;BR;;Mato Grosso;1;-17.35386;-56.797726;30748;2024-07-01T09:54;2024;7;1;Giff Beaton
4973870026;BR;;Mato Grosso;1;-17.30611;-56.692448;30748;2024-09-13T07:31;2024;9;13;Navin Sasikumar
4973867520;CO;;Putumayo;1;0.845612;-76.609448;31449;2024-08-28T01:48;2024;8;28;Savimbo
4973810795;CO;;Santander;1;7.136399;-73.606245;31331;2024-05-29T10:35;2024;5;29;ipacarai
4954620953;BR;;Mato Grosso;1;-17.255641;-56.691448;30748;2024-06-30T15:50;2024;6;30;Giff Beaton
4954568299;BR;;Mato Grosso do Sul;1;-19.503872;-56.035741;30562;2024-10-12T16:01:57;2024;10;12;Lucas Leuzinger
4954427690;BR;;Mato Grosso;1;-17.383944;-56.786776;30748;2024-10-08T12:26;2024;10;8;zab0s
4954402701;CR;;Guanacaste;1;11.103291;-85.567751;31158;2024-10-09T10:52:19;2024;10;9;Federico A. Chinchilla Romero
4954331926;GT;;Petén;1;17.541013;-89.347824;30732;2024-10-02T12:44:10;2024;10;2;Kelin Guerra
4953006338;BR;;Mato Grosso;1;-17.300758;-56.708403;30748;2023-09-17T06:39;2023;9;17;Royle Safaris
4952940679;BR;;Mato Grosso;1;-17.240202;-56.665733;30748;2024-09-04T06:39;2024;9;4;Abby Sesselberg
4952892724;BR;;Mato Grosso do Sul;1;-17.219924;-56.421028;30748;2024-09-04T10:29;2024;9;4;Steve Mayo
4952848998;BR;;Mato Grosso;1;-17.382335;-56.772696;30748;2024-06-29T16:59;2024;6;29;Giff Beaton
4952776018;BR;;Mato Grosso;1;-17.361016;-56.609131;30748;2024-08-08T15:35;2024;8;8;patnurse
4952733052;MX;;Campeche;1;19.930023;-90.221494;30527;2024-09-07T07:02:33;2024;9;7;Giovana A. Valencia
4952567501;BR;;Bahia;1;-14.921754;-45.941311;30927;2024-09-06T19:43:30;2024;9;6;Pedro Igor Monteiro
4952527733;BR;;Mato Grosso;1;-17.317586;-56.619142;30748;2024-06-29T09:00;2024;6;29;Giff Beaton
4952427005;GT;;Petén;1;17.413242;-89.325484;30732;2024-09-26T11:35:39;2024;9;26;Cornelio Chablé
4952395073;BR;;Mato Grosso;1;-17.273052;-56.616897;30748;2024-06-29T10:19;2024;6;29;Giff Beaton
4952239250;GT;;Petén;1;17.561397;-89.275557;30732;2024-09-26T12:15:26;2024;9;26;Cornelio Chablé
4952174867;BR;;Mato Grosso;1;-17.354481;-56.704921;30748;2024-09-04T06:40;2024;9;4;Steve Mayo
4950529716;CO;;Putumayo;1;0.83912;-76.621915;500000;2024-09-06T23:14;2024;9;6;Savimbo
4950412505;BR;;Mato Grosso;1;-12.835568;-55.913563;127727;2024-08-17T17:19:42;2024;8;17;mkt47
4950166178;BR;;Mato Grosso do Sul;1;-19.979149;-56.38689;30527;2024-06-14T07:00;2024;6;14;raulwald
4950156159;BR;;Mato Grosso;1;-17.335997;-56.670984;30748;2024-09-20T07:38;2024;9;20;subadulto
4950138727;BR;;Mato Grosso;1;-17.634509;-57.231744;118584;2024-08-17T16:34:41;2024;8;17;mkt47
4950092932;CO;;Putumayo;1;0.969448;-76.757542;31449;2024-09-02T21:41;2024;9;2;Savimbo
4950009937;MX;;Tabasco;1;17.402835;-92.759672;30732;2024-07-24T15:50;2024;7;24;Carlos Alvarez N.
4950009907;BR;;Mato Grosso;1;-16.74101;-56.988151;30795;2024-08-20T09:37;2024;8;20;Shelley Rutkin
4949905121;CO;;Putumayo;1;0.842507;-76.619285;31449;2024-09-02T21:36;2024;9;2;Savimbo
4946693686;CO;;Putumayo;1;0.97137;-76.790478;31449;2024-08-25T05:45;2024;8;25;Savimbo
4946687527;BR;;Mato Grosso;1;-17.287523;-56.67288;30748;2024-08-21T14:27;2024;8;21;Darren Obbard
4946672669;BR;;Mato Grosso;1;-17.257052;-56.626818;30748;2023-09-13T16:48;2023;9;13;Royle Safaris
4946654869;BR;;Mato Grosso;1;-17.3317;-56.720186;30748;2023-09-20T15:07;2023;9;20;Royle Safaris
4946641758;BR;;Pará;1;-3.421906;-47.932451;31422;2024-09-11T07:50:15;2024;9;11;Christoph Moning
4946510861;GT;;Petén;1;17.649528;-89.355643;30716;3/10/2024;2024;3;10;Sebastian Navarro
4946410920;BR;;Mato Grosso;1;-17.018323;-56.697051;30764;2024-08-04T17:52;2024;8;4;??????
4946347638;CO;;Putumayo;1;0.97022;-76.62924;31449;2024-08-23T12:27;2024;8;23;Savimbo
4946253010;CO;;Putumayo;1;0.95306;-76.757671;31449;2024-08-10T23:16;2024;8;10;Savimbo
4946252441;CR;;Limón;1;10.452461;-83.403606;31189;2024-08-30T15:51:24;2024;8;30;luiscorreacr
4946251368;BR;;Mato Grosso;1;-17.296448;-56.708531;30748;2023-09-17T16:48;2023;9;17;Royle Safaris
4946249731;BR;;Mato Grosso;1;-17.220226;-56.608043;30748;2024-09-13T06:42:36;2024;9;13;Carlos Otávio Gussoni
4946247253;CO;;Putumayo;1;0.98526;-76.759969;31449;2024-08-06T22:20;2024;8;6;Savimbo
4946225497;BR;;Mato Grosso;1;-17.282748;-56.772631;30748;2024-08-21T11:55;2024;8;21;Darren Obbard
4946182609;BR;;Mato Grosso;1;-17.368289;-56.671677;30748;2023-09-18T16:48;2023;9;18;Royle Safaris
4946155859;BO;;El Beni;1;-15.528059;-64.870279;30885;2024-07-29T17:09:30;2024;7;29;marisolhidalgo
4946108852;BR;;Mato Grosso;1;-17.227118;-56.700736;30748;2024-08-21T10:24;2024;8;21;Darren Obbard
4946062809;BR;;Mato Grosso;1;-17.363554;-56.744544;30748;2023-09-20T22:20;2023;9;20;Royle Safaris
4946010811;BR;;Mato Grosso;1;-17.234022;-56.619648;30748;2023-09-19T21:07;2023;9;19;Royle Safaris
4946010810;BR;;Mato Grosso;1;-17.315236;-56.717823;30748;2023-09-17T22:28;2023;9;17;Royle Safaris
4946008749;BR;;Mato Grosso;1;-17.344212;-56.654679;30748;2024-08-21T10:12;2024;8;21;Darren Obbard
4945925542;BR;;Mato Grosso;1;-17.27;-56.766546;30748;2023-09-18T13:21;2023;9;18;Royle Safaris
4945915765;BR;;Mato Grosso;1;-17.31837;-56.755414;30748;2024-08-21T12:08;2024;8;21;Darren Obbard
4945766050;CO;;Santander;1;6.706471;-73.951134;31344;2024-05-21T05:01;2024;5;21;Omar Daniel Leon-Alvarado
4945756408;CO;;Putumayo;1;0.817225;-76.705676;31449;2024-08-22T01:50;2024;8;22;Savimbo
4945724973;CO;;Putumayo;1;0.926832;-76.698761;31449;2024-08-13T22:31;2024;8;13;Savimbo
4945709845;BR;;Mato Grosso;1;-17.371216;-56.771446;30748;2023-09-18T16:32;2023;9;18;Royle Safaris
4945587925;CO;;Putumayo;1;0.88819;-76.704948;31449;2024-08-08T17:30;2024;8;8;Savimbo
4945567280;BR;;Mato Grosso;1;-17.323961;-56.785909;30748;2024-06-28T16:38;2024;6;28;Giff Beaton
4945556181;BR;;Mato Grosso;1;-17.133456;-56.728182;30764;2024-08-04T18:08;2024;8;4;??????
4945490239;CO;;Putumayo;1;0.983938;-76.753608;31449;2024-08-10T20:35;2024;8;10;Savimbo
4937225608;BR;;Mato Grosso do Sul;1;-18.035406;-57.477736;30683;2024-05-06T07:11;2024;5;6;Tomaz Nascimento de Melo
4937113535;BR;;Mato Grosso do Sul;1;-17.339366;-56.795287;30748;2023-07-09T11:21:45;2023;7;9;Cathy Pasterczyk
4937018684;BR;;Mato Grosso do Sul;1;-17.357572;-56.779083;30748;2024-08-16T09:35;2024;8;16;David J Barton
4936995027;BZ;;Toledo;1;16.531852;-88.615341;30810;2024-07-09T14:17:21;2024;7;9;Jay Ballard
4936993190;CO;;Antioquia;1;6.459448;-74.517077;31350;2023-04-06T13:00;2023;4;6;pbernala
4936979964;BR;;Mato Grosso;1;-17.265296;-56.640846;30748;2024-08-14T12:16;2024;8;14;David J Barton
4936969924;MX;;Jalisco;1;19.460025;-103.459218;30562;2024-08-12T05:23;2024;8;12;David Pl
4936954248;BR;;Mato Grosso do Sul;1;-17.222205;-56.734795;30748;2024-08-16T08:36;2024;8;16;David J Barton
4936945131;BR;;Mato Grosso do Sul;1;-17.268598;-56.656363;30748;2024-08-15T12:05;2024;8;15;David J Barton
4936941868;BR;;Mato Grosso do Sul;1;-17.29816;-56.677996;30748;2024-08-15T12:25;2024;8;15;David J Barton
